Year,Date,DayLabel,Month,Day,Mile,Waypoint,Lat,Lon,Elev_ft,SnowDepth_in,SWE_in
2024,2024-06-20,Jun-20,6,20,55.0,Hope Lake / Mig Lake,47.632917,-121.143762,5056.0,19.2,19.2
2024,2024-06-20,Jun-20,6,20,56.0,Mile 56.0,47.643689,-121.150707,5507.0,25.1,25.1
2024,2024-06-20,Jun-20,6,20,57.0,Mile 57.0,47.651952,-121.149938,5746.0,28.1,28.1
2024,2024-06-20,Jun-20,6,20,58.0,Mile 58.0,47.649715,-121.141587,5153.0,19.9,19.9
2024,2024-06-20,Jun-20,6,20,59.0,Mile 59.0,47.661315,-121.140089,4868.0,14.8,14.8
2024,2024-06-20,Jun-20,6,20,60.0,Cady Pass,47.670428,-121.132966,5009.0,16.9,16.9
2024,2024-06-20,Jun-20,6,20,61.0,Mile 61.0,47.676032,-121.126337,5581.0,24.7,24.7
2024,2024-06-20,Jun-20,6,20,62.0,Mile 62.0,47.683661,-121.114306,5246.0,19.6,19.6
2024,2024-06-20,Jun-20,6,20,63.0,Mile 63.0,47.689586,-121.098337,5111.0,17.4,17.4
2024,2024-06-20,Jun-20,6,20,64.0,Mile 64.0,47.693517,-121.088714,4616.0,6.7,6.7
2024,2024-06-20,Jun-20,6,20,65.0,Lake Valhalla area,47.703894,-121.089569,4656.0,7.4,7.4
2024,2024-06-20,Jun-20,6,20,66.0,Mile 66.0,47.704338,-121.074914,4482.0,3.9,3.9
2024,2024-06-20,Jun-20,6,20,67.0,Mile 67.0,47.712065,-121.065211,5281.0,19.2,19.2
2024,2024-06-20,Jun-20,6,20,68.0,Mile 68.0,47.720222,-121.063643,4867.0,12.7,12.7
2024,2024-06-20,Jun-20,6,20,69.0,Mile 69.0,47.724322,-121.077702,4611.0,6.1,6.1
2024,2024-06-20,Jun-20,6,20,70.4,Stevens Pass (Hwy 2),47.732427,-121.084095,5135.0,16.8,16.8
2024,2024-06-21,Jun-21,6,21,0.0,Snoqualmie Pass (Hwy 90),47.407447,-121.430052,3193.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,1.0,Mile 1.0,47.418288,-121.424192,3475.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,2.0,Mile 2.0,47.42623,-121.417504,2966.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,3.0,Mile 3.0,47.425435,-121.405356,3314.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,4.0,Mile 4.0,47.432661,-121.404496,3816.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,5.0,Gold Lake Bog area,47.443728,-121.393188,3983.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,6.0,Mile 6.0,47.43261,-121.397234,4604.0,8.3,8.3
2024,2024-06-21,Jun-21,6,21,7.0,Mile 7.0,47.439465,-121.386273,4982.0,18.6,18.6
2024,2024-06-21,Jun-21,6,21,8.0,Mile 8.0,47.448942,-121.381093,5396.0,24.5,24.5
2024,2024-06-21,Jun-21,6,21,9.0,Mile 9.0,47.458733,-121.368883,5460.0,25.5,25.5
2024,2024-06-21,Jun-21,6,21,10.0,Chikamin Peak area,47.464356,-121.353763,5192.0,21.7,21.7
2024,2024-06-21,Jun-21,6,21,11.0,Mile 11.0,47.464978,-121.344074,5368.0,24.1,24.1
2024,2024-06-21,Jun-21,6,21,12.0,Mile 12.0,47.471002,-121.336211,5153.0,21.1,21.1
2024,2024-06-21,Jun-21,6,21,13.0,Mile 13.0,47.47708,-121.326692,5619.0,27.6,27.6
2024,2024-06-21,Jun-21,6,21,14.0,Mile 14.0,47.473993,-121.315639,5783.0,29.8,29.8
2024,2024-06-21,Jun-21,6,21,15.0,Park Lakes Basin,47.463219,-121.307398,5643.0,27.7,27.7
2024,2024-06-21,Jun-21,6,21,16.0,Mile 16.0,47.45712,-121.300061,5425.0,24.5,24.5
2024,2024-06-21,Jun-21,6,21,17.0,Mile 17.0,47.451878,-121.292414,4908.0,17.2,17.2
2024,2024-06-21,Jun-21,6,21,18.0,Mile 18.0,47.452655,-121.281981,5207.0,21.3,21.3
2024,2024-06-21,Jun-21,6,21,19.0,Mile 19.0,47.455798,-121.276036,4540.0,6.5,6.5
2024,2024-06-21,Jun-21,6,21,20.0,Waptus River,47.458763,-121.272058,3963.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,21.0,Mile 21.0,47.460427,-121.266479,3460.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,22.0,Mile 22.0,47.469534,-121.256776,3293.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,23.0,Mile 23.0,47.480515,-121.25956,3224.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,24.0,Mile 24.0,47.493128,-121.260194,3362.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,25.0,Deep Lake / Cathedral Pass,47.488157,-121.252205,3827.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,26.0,Mile 26.0,47.489259,-121.24987,4303.0,2.3,2.3
2024,2024-06-21,Jun-21,6,21,27.0,Mile 27.0,47.490907,-121.247627,4791.0,13.5,13.5
2024,2024-06-21,Jun-21,6,21,28.0,Mile 28.0,47.494843,-121.247483,5221.0,21.7,21.7
2024,2024-06-21,Jun-21,6,21,29.0,Mile 29.0,47.496239,-121.245041,5579.0,26.8,26.8
2024,2024-06-21,Jun-21,6,21,30.0,Deception Pass,47.503156,-121.237008,5337.0,23.5,23.5
2024,2024-06-21,Jun-21,6,21,31.0,Mile 31.0,47.499875,-121.221,5404.0,24.4,24.4
2024,2024-06-21,Jun-21,6,21,32.0,Mile 32.0,47.502021,-121.215449,5035.0,19.3,19.3
2024,2024-06-21,Jun-21,6,21,33.0,Mile 33.0,47.506483,-121.21521,4676.0,10.4,10.4
2024,2024-06-21,Jun-21,6,21,34.0,Mile 34.0,47.509987,-121.214741,4205.0,1.1,1.1
2024,2024-06-21,Jun-21,6,21,35.0,Deception Creek,47.509743,-121.210218,3734.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,36.0,Mile 36.0,47.510592,-121.20641,3265.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,37.0,Mile 37.0,47.51858,-121.202126,3021.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,38.0,Mile 38.0,47.511507,-121.184333,3277.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,39.0,Mile 39.0,47.504868,-121.16623,3268.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,40.0,Surprise Lake Jct,47.509915,-121.150534,3378.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,41.0,Mile 41.0,47.517833,-121.142395,3874.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,42.0,Mile 42.0,47.52384,-121.136563,4216.0,1.5,1.5
2024,2024-06-21,Jun-21,6,21,43.0,Mile 43.0,47.534947,-121.137991,4417.0,5.1,5.1
2024,2024-06-21,Jun-21,6,21,44.0,Mile 44.0,47.540291,-121.133164,4589.0,9.4,9.4
2024,2024-06-21,Jun-21,6,21,45.0,Trap Pass area,47.544336,-121.131772,5044.0,21.8,21.8
2024,2024-06-21,Jun-21,6,21,46.0,Mile 46.0,47.549077,-121.131315,5462.0,27.6,27.6
2024,2024-06-21,Jun-21,6,21,47.0,Mile 47.0,47.556976,-121.128995,5383.0,26.4,26.4
2024,2024-06-21,Jun-21,6,21,48.0,Mile 48.0,47.561586,-121.128355,4671.0,11.7,11.7
2024,2024-06-21,Jun-21,6,21,49.0,Mile 49.0,47.56942,-121.134687,4345.0,3.5,3.5
2024,2024-06-21,Jun-21,6,21,50.0,Necklace Valley Jct,47.580034,-121.14542,3857.0,0.0,0.0
2024,2024-06-21,Jun-21,6,21,51.0,Mile 51.0,47.590005,-121.144128,4405.0,4.4,4.4
2024,2024-06-21,Jun-21,6,21,52.0,Mile 52.0,47.598228,-121.137829,4449.0,5.2,5.2
2024,2024-06-21,Jun-21,6,21,53.0,Mile 53.0,47.608607,-121.133321,4412.0,4.4,4.4
2024,2024-06-21,Jun-21,6,21,54.0,Mile 54.0,47.621391,-121.1418,4881.0,16.8,16.8
2024,2024-06-21,Jun-21,6,21,55.0,Hope Lake / Mig Lake,47.632917,-121.143762,5056.0,19.2,19.2
2024,2024-06-21,Jun-21,6,21,56.0,Mile 56.0,47.643689,-121.150707,5507.0,25.1,25.1
2024,2024-06-21,Jun-21,6,21,57.0,Mile 57.0,47.651952,-121.149938,5746.0,28.1,28.1
2024,2024-06-21,Jun-21,6,21,58.0,Mile 58.0,47.649715,-121.141587,5153.0,19.9,19.9
2024,2024-06-21,Jun-21,6,21,59.0,Mile 59.0,47.661315,-121.140089,4868.0,14.8,14.8
2024,2024-06-21,Jun-21,6,21,60.0,Cady Pass,47.670428,-121.132966,5009.0,16.9,16.9
2024,2024-06-21,Jun-21,6,21,61.0,Mile 61.0,47.676032,-121.126337,5581.0,24.7,24.7
2024,2024-06-21,Jun-21,6,21,62.0,Mile 62.0,47.683661,-121.114306,5246.0,19.6,19.6
2024,2024-06-21,Jun-21,6,21,63.0,Mile 63.0,47.689586,-121.098337,5111.0,17.4,17.4
2024,2024-06-21,Jun-21,6,21,64.0,Mile 64.0,47.693517,-121.088714,4616.0,6.7,6.7
2024,2024-06-21,Jun-21,6,21,65.0,Lake Valhalla area,47.703894,-121.089569,4656.0,7.4,7.4
2024,2024-06-21,Jun-21,6,21,66.0,Mile 66.0,47.704338,-121.074914,4482.0,3.9,3.9
2024,2024-06-21,Jun-21,6,21,67.0,Mile 67.0,47.712065,-121.065211,5281.0,19.2,19.2
2024,2024-06-21,Jun-21,6,21,68.0,Mile 68.0,47.720222,-121.063643,4867.0,12.7,12.7
2024,2024-06-21,Jun-21,6,21,69.0,Mile 69.0,47.724322,-121.077702,4611.0,6.1,6.1
2024,2024-06-21,Jun-21,6,21,70.4,Stevens Pass (Hwy 2),47.732427,-121.084095,5135.0,16.8,16.8
2024,2024-06-22,Jun-22,6,22,0.0,Snoqualmie Pass (Hwy 90),47.407447,-121.430052,3193.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,1.0,Mile 1.0,47.418288,-121.424192,3475.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,2.0,Mile 2.0,47.42623,-121.417504,2966.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,3.0,Mile 3.0,47.425435,-121.405356,3314.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,4.0,Mile 4.0,47.432661,-121.404496,3816.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,5.0,Gold Lake Bog area,47.443728,-121.393188,3983.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,6.0,Mile 6.0,47.43261,-121.397234,4604.0,8.3,8.3
2024,2024-06-22,Jun-22,6,22,7.0,Mile 7.0,47.439465,-121.386273,4982.0,18.6,18.6
2024,2024-06-22,Jun-22,6,22,8.0,Mile 8.0,47.448942,-121.381093,5396.0,24.5,24.5
2024,2024-06-22,Jun-22,6,22,9.0,Mile 9.0,47.458733,-121.368883,5460.0,25.5,25.5
2024,2024-06-22,Jun-22,6,22,10.0,Chikamin Peak area,47.464356,-121.353763,5192.0,21.7,21.7
2024,2024-06-22,Jun-22,6,22,11.0,Mile 11.0,47.464978,-121.344074,5368.0,24.1,24.1
2024,2024-06-22,Jun-22,6,22,12.0,Mile 12.0,47.471002,-121.336211,5153.0,21.1,21.1
2024,2024-06-22,Jun-22,6,22,13.0,Mile 13.0,47.47708,-121.326692,5619.0,27.6,27.6
2024,2024-06-22,Jun-22,6,22,14.0,Mile 14.0,47.473993,-121.315639,5783.0,29.8,29.8
2024,2024-06-22,Jun-22,6,22,15.0,Park Lakes Basin,47.463219,-121.307398,5643.0,27.7,27.7
2024,2024-06-22,Jun-22,6,22,16.0,Mile 16.0,47.45712,-121.300061,5425.0,24.5,24.5
2024,2024-06-22,Jun-22,6,22,17.0,Mile 17.0,47.451878,-121.292414,4908.0,17.2,17.2
2024,2024-06-22,Jun-22,6,22,18.0,Mile 18.0,47.452655,-121.281981,5207.0,21.3,21.3
2024,2024-06-22,Jun-22,6,22,19.0,Mile 19.0,47.455798,-121.276036,4540.0,6.5,6.5
2024,2024-06-22,Jun-22,6,22,20.0,Waptus River,47.458763,-121.272058,3963.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,21.0,Mile 21.0,47.460427,-121.266479,3460.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,22.0,Mile 22.0,47.469534,-121.256776,3293.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,23.0,Mile 23.0,47.480515,-121.25956,3224.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,24.0,Mile 24.0,47.493128,-121.260194,3362.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,25.0,Deep Lake / Cathedral Pass,47.488157,-121.252205,3827.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,26.0,Mile 26.0,47.489259,-121.24987,4303.0,2.3,2.3
2024,2024-06-22,Jun-22,6,22,27.0,Mile 27.0,47.490907,-121.247627,4791.0,13.5,13.5
2024,2024-06-22,Jun-22,6,22,28.0,Mile 28.0,47.494843,-121.247483,5221.0,21.7,21.7
2024,2024-06-22,Jun-22,6,22,29.0,Mile 29.0,47.496239,-121.245041,5579.0,26.8,26.8
2024,2024-06-22,Jun-22,6,22,30.0,Deception Pass,47.503156,-121.237008,5337.0,23.5,23.5
2024,2024-06-22,Jun-22,6,22,31.0,Mile 31.0,47.499875,-121.221,5404.0,24.4,24.4
2024,2024-06-22,Jun-22,6,22,32.0,Mile 32.0,47.502021,-121.215449,5035.0,19.3,19.3
2024,2024-06-22,Jun-22,6,22,33.0,Mile 33.0,47.506483,-121.21521,4676.0,10.4,10.4
2024,2024-06-22,Jun-22,6,22,34.0,Mile 34.0,47.509987,-121.214741,4205.0,1.1,1.1
2024,2024-06-22,Jun-22,6,22,35.0,Deception Creek,47.509743,-121.210218,3734.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,36.0,Mile 36.0,47.510592,-121.20641,3265.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,37.0,Mile 37.0,47.51858,-121.202126,3021.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,38.0,Mile 38.0,47.511507,-121.184333,3277.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,39.0,Mile 39.0,47.504868,-121.16623,3268.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,40.0,Surprise Lake Jct,47.509915,-121.150534,3378.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,41.0,Mile 41.0,47.517833,-121.142395,3874.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,42.0,Mile 42.0,47.52384,-121.136563,4216.0,1.5,1.5
2024,2024-06-22,Jun-22,6,22,43.0,Mile 43.0,47.534947,-121.137991,4417.0,5.1,5.1
2024,2024-06-22,Jun-22,6,22,44.0,Mile 44.0,47.540291,-121.133164,4589.0,9.4,9.4
2024,2024-06-22,Jun-22,6,22,45.0,Trap Pass area,47.544336,-121.131772,5044.0,21.8,21.8
2024,2024-06-22,Jun-22,6,22,46.0,Mile 46.0,47.549077,-121.131315,5462.0,27.6,27.6
2024,2024-06-22,Jun-22,6,22,47.0,Mile 47.0,47.556976,-121.128995,5383.0,26.4,26.4
2024,2024-06-22,Jun-22,6,22,48.0,Mile 48.0,47.561586,-121.128355,4671.0,11.7,11.7
2024,2024-06-22,Jun-22,6,22,49.0,Mile 49.0,47.56942,-121.134687,4345.0,3.5,3.5
2024,2024-06-22,Jun-22,6,22,50.0,Necklace Valley Jct,47.580034,-121.14542,3857.0,0.0,0.0
2024,2024-06-22,Jun-22,6,22,51.0,Mile 51.0,47.590005,-121.144128,4405.0,4.4,4.4
2024,2024-06-22,Jun-22,6,22,52.0,Mile 52.0,47.598228,-121.137829,4449.0,5.2,5.2
2024,2024-06-22,Jun-22,6,22,53.0,Mile 53.0,47.608607,-121.133321,4412.0,4.4,4.4
2024,2024-06-22,Jun-22,6,22,54.0,Mile 54.0,47.621391,-121.1418,4881.0,16.8,16.8
2024,2024-06-22,Jun-22,6,22,55.0,Hope Lake / Mig Lake,47.632917,-121.143762,5056.0,19.2,19.2
2024,2024-06-22,Jun-22,6,22,56.0,Mile 56.0,47.643689,-121.150707,5507.0,25.1,25.1
2024,2024-06-22,Jun-22,6,22,57.0,Mile 57.0,47.651952,-121.149938,5746.0,28.1,28.1
2024,2024-06-22,Jun-22,6,22,58.0,Mile 58.0,47.649715,-121.141587,5153.0,19.9,19.9
2024,2024-06-22,Jun-22,6,22,59.0,Mile 59.0,47.661315,-121.140089,4868.0,14.8,14.8
2024,2024-06-22,Jun-22,6,22,60.0,Cady Pass,47.670428,-121.132966,5009.0,16.9,16.9
2024,2024-06-22,Jun-22,6,22,61.0,Mile 61.0,47.676032,-121.126337,5581.0,24.7,24.7
2024,2024-06-22,Jun-22,6,22,62.0,Mile 62.0,47.683661,-121.114306,5246.0,19.6,19.6
2024,2024-06-22,Jun-22,6,22,63.0,Mile 63.0,47.689586,-121.098337,5111.0,17.4,17.4
2024,2024-06-22,Jun-22,6,22,64.0,Mile 64.0,47.693517,-121.088714,4616.0,6.7,6.7
2024,2024-06-22,Jun-22,6,22,65.0,Lake Valhalla area,47.703894,-121.089569,4656.0,7.4,7.4
2024,2024-06-22,Jun-22,6,22,66.0,Mile 66.0,47.704338,-121.074914,4482.0,3.9,3.9
2024,2024-06-22,Jun-22,6,22,67.0,Mile 67.0,47.712065,-121.065211,5281.0,19.2,19.2
2024,2024-06-22,Jun-22,6,22,68.0,Mile 68.0,47.720222,-121.063643,4867.0,12.7,12.7
2024,2024-06-22,Jun-22,6,22,69.0,Mile 69.0,47.724322,-121.077702,4611.0,6.1,6.1
2024,2024-06-22,Jun-22,6,22,70.4,Stevens Pass (Hwy 2),47.732427,-121.084095,5135.0,16.8,16.8
2024,2024-06-23,Jun-23,6,23,0.0,Snoqualmie Pass (Hwy 90),47.407447,-121.430052,3193.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,1.0,Mile 1.0,47.418288,-121.424192,3475.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,2.0,Mile 2.0,47.42623,-121.417504,2966.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,3.0,Mile 3.0,47.425435,-121.405356,3314.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,4.0,Mile 4.0,47.432661,-121.404496,3816.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,5.0,Gold Lake Bog area,47.443728,-121.393188,3983.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,6.0,Mile 6.0,47.43261,-121.397234,4604.0,8.3,8.3
2024,2024-06-23,Jun-23,6,23,7.0,Mile 7.0,47.439465,-121.386273,4982.0,18.6,18.6
2024,2024-06-23,Jun-23,6,23,8.0,Mile 8.0,47.448942,-121.381093,5396.0,24.5,24.5
2024,2024-06-23,Jun-23,6,23,9.0,Mile 9.0,47.458733,-121.368883,5460.0,25.5,25.5
2024,2024-06-23,Jun-23,6,23,10.0,Chikamin Peak area,47.464356,-121.353763,5192.0,21.7,21.7
2024,2024-06-23,Jun-23,6,23,11.0,Mile 11.0,47.464978,-121.344074,5368.0,24.1,24.1
2024,2024-06-23,Jun-23,6,23,12.0,Mile 12.0,47.471002,-121.336211,5153.0,21.1,21.1
2024,2024-06-23,Jun-23,6,23,13.0,Mile 13.0,47.47708,-121.326692,5619.0,27.6,27.6
2024,2024-06-23,Jun-23,6,23,14.0,Mile 14.0,47.473993,-121.315639,5783.0,29.8,29.8
2024,2024-06-23,Jun-23,6,23,15.0,Park Lakes Basin,47.463219,-121.307398,5643.0,27.7,27.7
2024,2024-06-23,Jun-23,6,23,16.0,Mile 16.0,47.45712,-121.300061,5425.0,24.5,24.5
2024,2024-06-23,Jun-23,6,23,17.0,Mile 17.0,47.451878,-121.292414,4908.0,17.2,17.2
2024,2024-06-23,Jun-23,6,23,18.0,Mile 18.0,47.452655,-121.281981,5207.0,21.3,21.3
2024,2024-06-23,Jun-23,6,23,19.0,Mile 19.0,47.455798,-121.276036,4540.0,6.5,6.5
2024,2024-06-23,Jun-23,6,23,20.0,Waptus River,47.458763,-121.272058,3963.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,21.0,Mile 21.0,47.460427,-121.266479,3460.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,22.0,Mile 22.0,47.469534,-121.256776,3293.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,23.0,Mile 23.0,47.480515,-121.25956,3224.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,24.0,Mile 24.0,47.493128,-121.260194,3362.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,25.0,Deep Lake / Cathedral Pass,47.488157,-121.252205,3827.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,26.0,Mile 26.0,47.489259,-121.24987,4303.0,2.3,2.3
2024,2024-06-23,Jun-23,6,23,27.0,Mile 27.0,47.490907,-121.247627,4791.0,13.5,13.5
2024,2024-06-23,Jun-23,6,23,28.0,Mile 28.0,47.494843,-121.247483,5221.0,21.7,21.7
2024,2024-06-23,Jun-23,6,23,29.0,Mile 29.0,47.496239,-121.245041,5579.0,26.8,26.8
2024,2024-06-23,Jun-23,6,23,30.0,Deception Pass,47.503156,-121.237008,5337.0,23.5,23.5
2024,2024-06-23,Jun-23,6,23,31.0,Mile 31.0,47.499875,-121.221,5404.0,24.4,24.4
2024,2024-06-23,Jun-23,6,23,32.0,Mile 32.0,47.502021,-121.215449,5035.0,19.3,19.3
2024,2024-06-23,Jun-23,6,23,33.0,Mile 33.0,47.506483,-121.21521,4676.0,10.4,10.4
2024,2024-06-23,Jun-23,6,23,34.0,Mile 34.0,47.509987,-121.214741,4205.0,1.1,1.1
2024,2024-06-23,Jun-23,6,23,35.0,Deception Creek,47.509743,-121.210218,3734.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,36.0,Mile 36.0,47.510592,-121.20641,3265.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,37.0,Mile 37.0,47.51858,-121.202126,3021.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,38.0,Mile 38.0,47.511507,-121.184333,3277.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,39.0,Mile 39.0,47.504868,-121.16623,3268.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,40.0,Surprise Lake Jct,47.509915,-121.150534,3378.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,41.0,Mile 41.0,47.517833,-121.142395,3874.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,42.0,Mile 42.0,47.52384,-121.136563,4216.0,1.5,1.5
2024,2024-06-23,Jun-23,6,23,43.0,Mile 43.0,47.534947,-121.137991,4417.0,5.1,5.1
2024,2024-06-23,Jun-23,6,23,44.0,Mile 44.0,47.540291,-121.133164,4589.0,9.4,9.4
2024,2024-06-23,Jun-23,6,23,45.0,Trap Pass area,47.544336,-121.131772,5044.0,21.8,21.8
2024,2024-06-23,Jun-23,6,23,46.0,Mile 46.0,47.549077,-121.131315,5462.0,27.6,27.6
2024,2024-06-23,Jun-23,6,23,47.0,Mile 47.0,47.556976,-121.128995,5383.0,26.4,26.4
2024,2024-06-23,Jun-23,6,23,48.0,Mile 48.0,47.561586,-121.128355,4671.0,11.7,11.7
2024,2024-06-23,Jun-23,6,23,49.0,Mile 49.0,47.56942,-121.134687,4345.0,3.5,3.5
2024,2024-06-23,Jun-23,6,23,50.0,Necklace Valley Jct,47.580034,-121.14542,3857.0,0.0,0.0
2024,2024-06-23,Jun-23,6,23,51.0,Mile 51.0,47.590005,-121.144128,4405.0,4.4,4.4
2024,2024-06-23,Jun-23,6,23,52.0,Mile 52.0,47.598228,-121.137829,4449.0,5.2,5.2
2024,2024-06-23,Jun-23,6,23,53.0,Mile 53.0,47.608607,-121.133321,4412.0,4.4,4.4
2024,2024-06-23,Jun-23,6,23,54.0,Mile 54.0,47.621391,-121.1418,4881.0,16.8,16.8
2024,2024-06-23,Jun-23,6,23,55.0,Hope Lake / Mig Lake,47.632917,-121.143762,5056.0,19.2,19.2
2024,2024-06-23,Jun-23,6,23,56.0,Mile 56.0,47.643689,-121.150707,5507.0,25.1,25.1
2024,2024-06-23,Jun-23,6,23,57.0,Mile 57.0,47.651952,-121.149938,5746.0,28.1,28.1
2024,2024-06-23,Jun-23,6,23,58.0,Mile 58.0,47.649715,-121.141587,5153.0,19.9,19.9
2024,2024-06-23,Jun-23,6,23,59.0,Mile 59.0,47.661315,-121.140089,4868.0,14.8,14.8
2024,2024-06-23,Jun-23,6,23,60.0,Cady Pass,47.670428,-121.132966,5009.0,16.9,16.9
2024,2024-06-23,Jun-23,6,23,61.0,Mile 61.0,47.676032,-121.126337,5581.0,24.7,24.7
2024,2024-06-23,Jun-23,6,23,62.0,Mile 62.0,47.683661,-121.114306,5246.0,19.6,19.6
2024,2024-06-23,Jun-23,6,23,63.0,Mile 63.0,47.689586,-121.098337,5111.0,17.4,17.4
2024,2024-06-23,Jun-23,6,23,64.0,Mile 64.0,47.693517,-121.088714,4616.0,6.7,6.7
2024,2024-06-23,Jun-23,6,23,65.0,Lake Valhalla area,47.703894,-121.089569,4656.0,7.4,7.4
2024,2024-06-23,Jun-23,6,23,66.0,Mile 66.0,47.704338,-121.074914,4482.0,3.9,3.9
2024,2024-06-23,Jun-23,6,23,67.0,Mile 67.0,47.712065,-121.065211,5281.0,19.2,19.2
2024,2024-06-23,Jun-23,6,23,68.0,Mile 68.0,47.720222,-121.063643,4867.0,12.7,12.7
2024,2024-06-23,Jun-23,6,23,69.0,Mile 69.0,47.724322,-121.077702,4611.0,6.1,6.1
2024,2024-06-23,Jun-23,6,23,70.4,Stevens Pass (Hwy 2),47.732427,-121.084095,5135.0,16.8,16.8
2024,2024-06-24,Jun-24,6,24,0.0,Snoqualmie Pass (Hwy 90),47.407447,-121.430052,3193.0,0.0,0.0
2024,2024-06-24,Jun-24,6,24,1.0,Mile 1.0,47.418288,-121.424192,3475.0,0.0,0.0
2024,2024-06-24,Jun-24,6,24,2.0,Mile 2.0,47.42623,-121.417504,2966.0,0.0,0.0
2024,2024-06-24,Jun-24,6,24,3.0,Mile 3.0,47.425435,-121.405356,3314.0,0.0,0.0
2024,2024-06-24,Jun-24,6,24,4.0,Mile 4.0,47.432661,-121.404496,3816.0,0.0,0.0
2024,2024-06-24,Jun-24,6,24,5.0,Gold Lake Bog area,47.443728,-121.393188,3983.0,0.0,0.0
2024,2024-06-24,Jun-24,6,24,6.0,Mile 6.0,47.43261,-121.397234,4604.0,8.3,8.3
2024,2024-06-24,Jun-24,6,24,7.0,Mile 7.0,47.439465,-121.386273,4982.0,18.6,18.6
2024,2024-06-24,Jun-24,6,24,8.0,Mile 8.0,47.448942,-121.381093,5396.0,24.5,24.5
2024,2024-06-24,Jun-24,6,24,9.0,Mile 9.0,47.458733,-121.368883,5460.0,25.5,25.5
2024,2024-06-24,Jun-24,6,24,10.0,Chikamin Peak area,47.464356,-121.353763,5192.0,21.7,21.7
2024,2024-06-24,Jun-24,6,24,11.0,Mile 11.0,47.464978,-121.344074,5368.0,24.1,24.1
2024,2024-06-24,Jun-24,6,24,12.0,Mile 12.0,47.471002,-121.336211,5153.0,21.1,21.1
2024,2024-06-24,Jun-24,6,24,13.0,Mile 13.0,47.47708,-121.326692,5619.0,27.6,27.6
2024,2024-06-24,Jun-24,6,24,14.0,Mile 14.0,47.473993,-121.315639,5783.0,29.8,29.8
2024,2024-06-24,Jun-24,6,24,15.0,Park Lakes Basin,47.463219,-121.307398,5643.0,27.7,27.7
2024,2024-06-24,Jun-24,6,24,16.0,Mile 16.0,47.45712,-121.300061,5425.0,24.5,24.5
